time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 11585 , 9067.03 , 2517.93 , 0
0.5 , 11768 , 8410.76 , 3357.24 , 0
1 , 11935.8 , 7739.25 , 4196.55 , 0
1.5 , 12137.1 , 7101.25 , 5035.86 , 0
2 , 11782.9 , 6747.07 , 5035.86 , 0
2.5 , 11420.1 , 6384.23 , 5035.86 , 0
3 , 11932.6 , 6057.47 , 5875.17 , 0
3.5 , 11695.8 , 5820.6 , 5875.17 , 0
4 , 11492.6 , 5617.45 , 5875.17 , 0
4.5 , 11328.8 , 5453.62 , 5875.17 , 0
5 , 11332.1 , 5456.94 , 5875.17 , 0
5.5 , 12136.4 , 5421.88 , 6714.48 , 0
6 , 12094.8 , 5380.35 , 6714.48 , 0
6.5 , 11388.5 , 5530.86 , 5875.17 , 17.5507
7 , 11571.7 , 5714.07 , 5875.17 , 17.5507
7.5 , 11495.3 , 6057.69 , 5875.17 , 437.567
8 , 11950.3 , 6512.72 , 5875.17 , 437.567
8.5 , 11932.6 , 7115.93 , 5875.17 , 1058.51
9 , 11899.5 , 7922.17 , 5035.86 , 1058.51
9.5 , 11670.8 , 8676.78 , 5035.86 , 2041.8
10 , 11461.7 , 9306.9 , 4196.55 , 2041.8
10.5 , 12029.7 , 9928.72 , 6714.48 , 4613.53
11 , 11786.3 , 10524.6 , 5875.17 , 4613.53
11.5 , 12008.4 , 11105.4 , 6714.48 , 5811.48
12 , 11427.5 , 11363.8 , 5875.17 , 5811.48
12.5 , 11742.6 , 11269.1 , 10071.7 , 9598.19
13 , 12067.3 , 10754.5 , 10911 , 9598.19
13.5 , 11726 , 9952.4 , 6714.48 , 4940.92
14 , 12095.1 , 9482.18 , 7553.79 , 4940.92
14.5 , 11673.3 , 9203.32 , 10071.7 , 7601.78
15 , 11487.7 , 9017.71 , 10071.7 , 7601.78
15.5 , 12075.8 , 8819.64 , 10071.7 , 6815.57
16 , 11886.8 , 8630.63 , 10071.7 , 6815.57
16.5 , 11539.5 , 8580.72 , 7553.79 , 4595.01
17 , 11656.6 , 8697.85 , 7553.79 , 4595.01
17.5 , 11861.7 , 8954.21 , 5035.86 , 2128.38
18 , 11487.9 , 9419.7 , 4196.55 , 2128.38
18.5 , 11788 , 10350.6 , 1678.62 , 241.256
19 , 11334.5 , 11575.8 , 0 , 241.256
19.5 , 12308.1 , 12308.1 , 0 , 0
20 , 12766.3 , 12766.3 , 0 , 0
20.5 , 12791.2 , 12791.2 , 0 , 0
21 , 12579 , 12579 , 0 , 0
21.5 , 12293.2 , 12293.2 , 0 , 0
22 , 11913.4 , 11913.4 , 0 , 0
22.5 , 11352.3 , 11352.3 , 0 , 0
23 , 11361.3 , 10522 , 839.31 , 0
23.5 , 12076.5 , 9558.54 , 2517.93 , 0
