time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 2803.59 , 2803.59 , 0 , 0
1 , 2579.75 , 2579.75 , 0 , 0
1.5 , 2367.08 , 2367.08 , 0 , 0
2 , 2249.02 , 2249.02 , 0 , 0
2.5 , 2128.08 , 2128.08 , 0 , 0
3 , 2019.16 , 2019.16 , 0 , 0
3.5 , 1940.2 , 1940.2 , 0 , 0
4 , 1872.48 , 1872.48 , 0 , 0
4.5 , 1817.87 , 1817.87 , 0 , 0
5 , 1818.98 , 1818.98 , 0 , 0
5.5 , 1807.29 , 1807.29 , 0 , 0
6 , 1793.45 , 1793.45 , 0 , 0
6.5 , 1839.23 , 1843.62 , 0 , 4.38768
7 , 1900.3 , 1904.69 , 0 , 4.38768
7.5 , 1909.84 , 2019.23 , 0 , 109.392
8 , 2061.52 , 2170.91 , 0 , 109.392
8.5 , 4625.28 , 2371.98 , 2517.93 , 264.627
9 , 4894.03 , 2640.72 , 2517.93 , 264.627
9.5 , 4899.74 , 2892.26 , 2517.93 , 510.449
10 , 5109.78 , 3102.3 , 2517.93 , 510.449
10.5 , 4674.12 , 3309.57 , 2517.93 , 1153.38
11 , 4872.76 , 3508.22 , 2517.93 , 1153.38
11.5 , 4766.86 , 3701.8 , 2517.93 , 1452.87
12 , 4853.01 , 3787.94 , 2517.93 , 1452.87
12.5 , 3874.74 , 3756.36 , 2517.93 , 2399.55
13 , 3703.21 , 3584.83 , 2517.93 , 2399.55
13.5 , 4600.17 , 3317.47 , 2517.93 , 1235.23
14 , 4443.43 , 3160.73 , 2517.93 , 1235.23
14.5 , 1167.33 , 3067.77 , 0 , 1900.45
15 , 1105.46 , 3005.9 , 0 , 1900.45
15.5 , 1235.99 , 2939.88 , 0 , 1703.89
16 , 1172.99 , 2876.88 , 0 , 1703.89
16.5 , 1711.49 , 2860.24 , 0 , 1148.75
17 , 1750.53 , 2899.28 , 0 , 1148.75
17.5 , 2452.64 , 2984.74 , 0 , 532.094
18 , 2607.8 , 3139.9 , 0 , 532.094
18.5 , 3389.9 , 3450.21 , 0 , 60.3139
19 , 3798.27 , 3858.59 , 0 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4192.99 , 4192.99 , 0 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 3186.18 , 3186.18 , 0 , 0
